fid,name,mv16,district,address,contact_name,contact_designation,membership,thana
10001,Uranus Apparels Ltd.,Sadarghat Police Station,Chattogram,"Municipal Super Market (4th & 5th floor), Plot 520/523, New Market, Station Road, Chattogram City Corporation, Chattogram-4000",Samir Kanti Dey,Managing Director,Member,Sadarghat
10002,Sundry Apparels Ltd.,Hathazari Police Station,Chattogram,"Chattogram-Hathazari Road, 11 Mile, Jobra, Fatehpur, Hathazari, Chattogram-4330",Syad Mohammad Rouf-Ur-Jashed,Director,Member,Hathazari
10005,Focus Apparels BD Ltd.,Halishahar Police Station,Chattogram,"(Floor 1), Didar Mansion, Port Link Road, Molla Para, North Halishahar, Chattogram-4226",Rezaul Karim Badal,Managing Director,Member,Halishahar
10011,Intercare Ltd.,Doublemooring Police Station,Chattogram,"Plot# 687, South Agrabad, CDA R/A, Road No: 20, Chattogram- 4100, Bangladesh",MR. Zakai Hossain,Deputy General Manager,Member,Doublemooring
10013,Kay Garments Ltd.,Kotwali Police Station,Chattogram,"321, Didar Market (3rd Floor), Nabab Sirajuddaula Road, Dewanbazar, Kotwali, Chattogram-4000",Bijoy Sekhar Das,Managing Director,Member,Kotwali
10014,Comfort Wear Garments Ltd.,Doublemooring Police Station,Chattogram,"74, Jahan Building (Building No.5, 5th Floor) Agrabad C/A, Double Mooring, Chattogram-4100",Md. Jashim Uddin,Director,Member,Doublemooring
10015,Apace Ltd.,Chawk Bazar Police Station,Chattogram,"436/457, Dev Pahar, Chatteswari Road, Gazi Shah Lane, Chattogram - 4203.",Md. Gias Uddin,Chairman,Member,Chawk Bazar
10021,Top Star Fashions Ltd.,Doublemooring Police Station,Chattogram,"N-224, Nazma Ahmad Complex (2nd floor), D.T. Road (Nazma Khatun by Lane), Dewan Dighirpar, Dewanhat, Double Mooring, Chattogram-4100",Md. Absar Hossain,Managing Director,Member,Doublemooring
10022,F & F Fabric Printing,Hathazari Police Station,Chattogram,"Bathua-Miar Baper Colony, Neyamot Ali Road, Shikarpur, Hathazari, Chattogram-4337.",Kanchan Das,Factory Manager,Member,Hathazari
10024,Brandnation Ltd.,Pahartali Police Station,Chattogram,"Plot No- 11, Sunrise Shopping Complex, 11-CDA Market, Pahartali, Chattogram-4202.",Md.Younus Miah,Commercial Manager,Member,Pahartali
10025,Dips Apparel Ltd.,Bakolia Police Station,Chattogram,"152/153, Karnafoly Arcade,Floor #2,New Chaktai, Bakolia,Chattogram - 4000",Md. Zasim Uddin Chowdhury,Managing Director,Member,Bakolia
10026,Jadid Apparels,Sadarghat Police Station,Chattogram,"117, Nabi Dobash Tower, (1st Floor), Strand Road, Bangla Bazar, Sadarghat, Chattogram-4100",Md.Sarower Hossen,Manager (H.R & Admin),Member,Sadarghat
10027,Dress Well Ltd.,Sadarghat Police Station,Chattogram,"18-19/A, New Strand Road, Majhirghat, Chattogram, Bangladesh.",Md.Rezaul Karim Reza,Factory Manager,Member,Sadarghat
10028,Madina Establishments Ltd.,Doublemooring Police Station,Chattogram,"Plot# 687, Road# 20, CDA Residential Area, South Agrabad, Chattogram-4100",Md. Hazi Hossain Ahmed,Chairman,Member,Doublemooring
10029,Jans Febrics Ltd.,Sadarghat Police Station,Chattogram,"154, Kazi Nazrul Islam Road, Raj Hotel Market (2nd Floor), Sadarghat, Chattogram-4000.",Tapas Kumar Datta,General Manager,Member,Sadarghat
10032,Sanguine Apparels Ltd.,Bakolia Police Station,Chattogram,"1676/A, Floor #3, Shah Amanat Bridge Connecting Road, Rajakhali, Bakolia, Chattogram - 4000",Mohammad Shahjahan,Manager (Merchandiser),Member,Bakolia
10035,Ritzy Apparels Ltd.,Doublemooring Police Station,Chattogram,"175/A/186, Sheikh Mujib Road, Agrabad C/A, Chattogram-4100, Bangladesh.",Rashed Yousuf,Deputy General Manager,Member,Doublemooring
10042,Infinia Knitting & Dyeing Mills Ltd.,Sitakunda Police Station,Chattogram,"Kadamrosul-Keshabpur, Sunman Textile Road, Sonaichhari, Sitakunda, Chattogram-4314",Sayed Sahadat Parvez,General Manager,Member,Sitakunda
10045,Knitexpo Ltd.,Bandar Police Station,Chattogram,"Plot# 6594/95 (Ground Floor), M.A Aziz Road (Near CEPZ), South Middle  Halishahar, Bandar, Chattogram-4100",Md. Shafiul Alam Rana,Director,Member,Bandar
10047,Kohinoor Apparels Ltd.,Chawk Bazar Police Station,Chattogram,"436/457, Gazi Shah Lane, Dev Pahar, Chattogram- 4203.",Md. Reaz Weaz,Director,Member,Chawk Bazar
10049,Shelley Inter Trade Ltd.,Doublemooring Police Station,Rangamati,"522, Parjatan Road, Tabalchari, Rangamati Sadar, Rangamati-4500",Md. Ala Uddin,General Manager,Member,Doublemooring
10050,Ettade Jeans Ltd.,Panchlaish Police Station,Chattogram,"1670/2091, Aturar Deport, Soloshar, Chattogram - 4211",Anupam Chowdhury,Executive Director,Member,Panchlaish
10056,S & S Swimwear Ltd.,Doublemooring Police Station,Chattogram,"Plot # 1293, Raja Super Market (3rd floor), D.T. Road, Dhanialapara, Double Mooring, Chattogram-4100",Rafiqul Islam (Sattar),Chairman,Member,Doublemooring
10058,Fit Well Sweater (Pvt.) Ltd.,EPZ Police Station,Chattogram,"1681/L, M.J Plaza (4th floor), 2 No. Mailer Matha, South Halishahar, Bandar, Chattogram.",Md. Joynal Abedin,Managing Director,Member,EPZ
10061,Annex Fashion Ltd.,Doublemooring Police Station,Chattogram,"Plot # 215/216, P.M. Centre (4th floor), D.T. Road, Dewan Dighirpar, Dewanhat, Double Mooring, Chattogram-4100",Md. Showkat Hossain,Managing Director,Member,Doublemooring
10062,M. I. Knitwear Ltd.,Doublemooring Police Station,Chattogram,"Plot # 215/216, P.M. Centre (1st floor), D.T. Road (Nazma Khatun by Lane), Dewan Dighirpar, Dewanhat, Double Mooring, Chattogram-4100",Md. Hedayet Ullah,General Manager,Member,Doublemooring
10063,Season Creations Ltd.,Pahartali Police Station,Chattogram,"612/559, Nazir Saleh Complex, Abdul Ali Hat, Pahartali, Chattogram-4202.",Syed Md. Maruf Hossain,Managing Director,Member,Pahartali
10064,Moontaha Faahion Ltd.,Doublemooring Police Station,Chattogram,"Plot # 1248 (1st floor), D.T. Road, Dhanialapara, Baitush Sharaf, Double Mooring, Chattogram-4100",Md. Abdul Barek,Managing Director,Member,Doublemooring
10068,Stitch Tone Apparels Ltd.,Sadarghat Police Station,Chattogram,"18/19, Strand Road, Champa Tower, Majhirghat, Chattogram, Bangladesh.",Mir Altaf Hossain,"Manager (Admin, HR & Compliance)",Member,Sadarghat
10072,Reliance Denim Industries Ltd.,Pahartali Police Station,Chattogram,"A/1, Block-A, Sagarika Road, BSCIC, Pahartali, Chattogram-4219.",Mamun Salam,Managing Director,Member,Pahartali
10073,Lumbini Ltd.,Doublemooring Police Station,Bandarban,"Zilla Parishad Complex, Meghla, Bandarban Municipality, Bandarban-4600",Brig. Gen. Shah Md. Sultan Uddin Iqbal,Managing Director,Member,Doublemooring
10074,Badgetex Apparels Ltd.,Chandgaon Police Station,Chattogram,"Plot P/6-A, Mohara Nexus I/A, Chandgaon, Chattogram-4221",Shahed Iqbal Chowdhury,Senior Manager (Compliance),Member,Chandgaon
10078,Texolline Apparels Ltd.,Pahartali Police Station,Chattogram,"B/26, 2nd Floor, Block-A, Sagarika Road, BSCIC Industrial Area, Pahartali, Chattogram-4219.",Abdul Alim Arif,Managing Director,Member,Pahartali
